"","Lupus","WT"
"Sult1d1",0.531376830352601,-0.35004845574298
"Cxcl1",0.436733627455238,-0.471723831899023
"Rasgef1b",0.359864997774879,-0.308733977475421
"Hnrnpdl",0.36073176962828,-0.0331189137618289
"Plac8",0.55225266075558,-0.337073618853354
"Coq2",0.475269109223899,-0.321795125668995
"Abcg3",0.519816847823045,-0.508496849971203
"Gbp10",0.765666468945028,-0.565553059888018
"Gbp6",0.843664201991587,-0.795315734865189
"Tpst2",0.33041298116957,-0.290998399305123
"Ankrd13a",0.413360973779058,-0.375099097500271
"4930515G01Rik",0.455934031820043,-0.460908748524438
"Mlec",0.261986098153169,-0.13549846345975
"Slc15a4",0.351145827123508,0.0983931723352659
"Glt1d1",0.300860332038475,-0.0870443875045797
"Limk1",0.253945913301721,-0.0642028272032928
"Orai2",0.4252352021518,-0.240510932549093
"Plod3",0.379993155716571,0.0352962496887026
"Znhit1",0.428728332013163,0.000148668776968046
"Ttyh3",0.221178371153824,-0.162900621499996
"Cyp3a41a",0.53761767273764,-0.528524633819194
"Gm6370",1.33235384076161,-0.836880179382069
"4930449I24Rik",1.94905819611879,-1.13367068359908
"Gm3404",1.01289714707854,-1.63339951512945
"Glcci1",0.32130776859848,-0.202366908962154
"A430035B10Rik",0.454277072388732,-0.165098691527378
"Capza2",0.40566752115532,-0.0976230586560255
"Irf5",0.373719793534519,-0.223404066761483
"Mir29b-1",0.346863313320413,-0.00873534568577271
"Zc3hav1",0.426688518229955,-0.544825134517446
"Slc37a3",0.247777141400269,-0.167492991135894
"Dennd2a",0.25448563157714,-0.164937115344057
"Gimap3",0.435708383233698,-0.40931577545851
"Tmem176b",0.29388029936043,-0.0425006481767387
"Tmem176a",0.331108722864541,0.0290957573508171
"Mturn",0.300012520204495,-0.147001264653368
"Hk2",0.300759672072396,-0.214599152074476
"Loxl3",0.385138994755047,-0.29791163872536
"Aup1",0.460206253586929,-0.114223106402544
"Htra2",0.436061475804353,-0.0493283292521562
"Dqx1",0.368660655485272,0.010005005137361
"2310040G24Rik",0.338920729548563,-0.17637608019959
"Arhgap25",0.343897068262491,-0.33862374197675
"Lsm3",0.216184543903702,-0.12932149331302
"Gt(ROSA)26Sor",0.438253028982017,-0.374801723092591
"Ninj2",0.26847718077606,-0.216792703451437
"Slc6a12",0.414127135417108,-0.29417727414686
"Clec4a3",0.57432251916097,-0.73181454818152
"Mir200c",0.648090154650346,-0.331763471097028
"Ptpn6",0.297823113761018,-0.353733128779454
"Gm38404",0.377326371470172,-0.195341510546108
"Gm15987",0.821406003862014,-0.221666453672779
"2310001H17Rik",0.366684971317695,-0.291468967142243
"Etv6",0.211155310363979,-0.304343257097129
"H2afj",0.395903288812055,-0.253655988431545
"Hist4h4",0.50086122900341,-0.295277125301916
"Bcat1",0.63738708165629,-0.598563281874556
"1700049E15Rik",0.351941642659881,0.0806534784498257
"Myadm",0.385281851873213,-0.281543158031045
"Leng8",0.335798834478448,-0.32655162734796
"Leng9",0.54140832520654,-0.39885169088249
"Fiz1",0.404124849243074,-0.281192910568947
"Zfp524",0.381885145444765,-0.261294025608118
