"","D01116_test","D01117_test","D01118_test","D01119_test","D01120_test"
"Hipk1",-0.443106484325936,0.227031217887411,-0.237204120761687,-0.110215275804702,0.469126742391247
"Gbp2b",-0.370434431940656,0.350456249169503,-0.0619449522816612,-0.300887690554814,0.423255169849088
"Gbp3",-0.372628580768549,0.380916920756867,-0.0434646895259901,-0.538504091814826,0.60972305863904
"Epb41l4b",-0.0671554786278413,0.205992361218024,-0.41333833232577,0.0350992274790293,0.219352196031187
"Alad",-1.12376596339362,0.399080295407562,0.282947171628021,-0.847091263392219,0.872588939056804
"Cd22",-0.069429052130414,0.374330866548403,-0.0185042380204278,-0.563455179454969,0.407572076081525
"Lmtk3",-0.210279038220461,0.277137781504905,-0.16280895941152,-0.302507778456481,0.502181816724188
"Stim1",-0.327071488295787,0.262421660240885,-0.300424987253878,-0.177448891959297,0.24920607672681
"Mt2",-0.174956912208722,0.448030880534917,-0.349976694021429,0.281147816791101,0.627727159265538
"Zbtb16",-0.47115255720705,0.445415346076251,-0.0197210818494382,-0.401273185766167,0.445668636632549
"Rab8b",-0.226827130903338,0.23110843117001,-0.347538816015352,0.222815073357816,0.33615647137399
"Prps1",-0.307531387645546,0.249760042371481,-0.356009895763831,0.110756508623682,0.249868717144136
"Tmsb4x",-0.313191575394268,0.315434080192587,-0.451877611652117,0.00722124226738349,0.325391991984885
"Gns",-0.236107806252114,-0.0876958349517789,0.281969788821343,-0.163840449108841,0.333682321974976
"Irf1",-0.547458947845229,0.00989188389813265,0.527634346790375,-0.227950258302385,0.392920276381955
"Gpx3",-0.0603229071922003,-0.426411706235781,0.527474490423596,-0.0751918390612052,0.30055005244897
"Srd5a1",-0.147415258762903,-0.276021122502108,0.362772099792411,-0.0691627352059222,0.22714759789469
"Il3ra",-0.550733204505071,-0.123317582155613,0.664952377241997,-0.646163563856443,0.357413561099339
"Rnf31",-0.349203019286204,-0.14526407605039,0.298185289691816,-0.0223626841473114,0.316072706497156
"H2-Eb1",-0.507079810894726,0.102107932821682,0.352770894074769,-0.328677257029484,0.261704669980829
"Cd74",-0.689841984753826,-0.149124339950885,0.425096602986222,-0.446174602397138,0.440137525368294
"Keg1",-0.306748558768199,-0.277381176345351,0.907021654376593,-0.538597727145083,0.440614404015883
"B4galt5",-0.0601200991807531,0.0412157561153326,0.290036290276882,-0.275711768170518,0.263523136187303
"Ptpn1",-0.351046044381288,0.0455947849592979,0.221860944095806,-0.314328445543812,0.354071470721295
"Zc3h12a",-0.494584259810323,-0.0673682303684839,0.379308213624484,-0.0774619739631828,0.218431248995709
"Htra2",-0.171660245598242,-0.207135467613153,0.43262426489319,-0.109083641797883,0.329469527805632
"Bcl3",-0.431159119752068,-0.080553436071427,0.386801805855382,-0.135013360568154,0.290988612419383
"Map4k1",-0.234133525567678,-0.0558570926616372,0.392339994398916,-0.0720679055829177,0.358333656085404
"Nfkbid",-0.665935917496096,0.00939909315773016,0.616216015908298,-0.0592227373437893,0.355197014516564
"Zfp810",-0.438181367371564,0.135756237139026,0.373103969986169,-0.287037296323948,0.472787158204318
"Efhd1",0.263105548044985,-0.0631018637580671,-0.277810311162104,0.165352014367502,0.210026195243645
"1700021F05Rik",0.306368498332261,-0.0903184455646263,-0.0473578016699391,0.0189297077612873,0.28732131302797
"Mir6911",0.319206946309469,-0.212091672897201,0.194660538384885,-0.0637029104466224,0.317442818333711
"Rdh18-ps",0.349553677749824,-0.216556243218266,-0.375983179454884,0.0681746672235782,0.274251200438499
"Hoxb3",0.263919123710311,-0.0275874431456886,-0.676406690162238,0.26902971046761,0.269874357432722
"Tbc1d16",0.253712110701728,0.050677519856532,-0.206093129660617,-0.109945151709788,0.200797131083683
"Acot4",0.325192851243416,-0.34344153570822,-0.654703594743164,0.511515598719142,0.358628086293493
"Foxq1",0.328668388819869,0.0362360578495352,-0.227301562705343,-0.327400109314806,0.332818140685113
"Fam107a",0.241136718879201,-0.0167945727252369,-0.4416107283073,-0.0365511786047292,0.213553680230387
